,Bed_number,Bath_number,Square_foot,Price,Expected Price,Price Percentage Increase,Address,Latitude,Longitude
78,5.0,2.0,2200.0,4100.0,5127.787019140361,0.799,"23 Forest St , Medford, MA 02155",42.41901415,-71.10886779503551
79,5.0,2.0,2200.0,4225.0,5127.787019140361,0.823,"227 Boston Ave, Medford, MA 02155",42.414633550000005,-71.12682095
80,3.0,2.0,1700.0,3750.0,3519.7259490936303,1.065,"132 Allston St , Medford, MA 02155",42.4239593,-71.12935652539474
81,3.0,2.0,1133.0,3000.0,3203.136719379864,0.936,"98 Edward St, Medford, MA 02155",42.4007134,-71.10316355061667
82,3.0,2.0,2100.0,3700.0,3743.069321025739,0.988,"24 Brooks Park, Medford, MA 02155",42.412086900000006,-71.10902381680901
83,2.0,1.0,1000.0,2700.0,2175.8372028042545,1.24,"14 Hancock Ct , Medford, MA 02155",42.4107326,-71.1071532
84,3.0,1.0,1500.0,2800.0,3119.4573452851887,0.897,"85 Partridge Ave , Somerville, MA 02145",42.39591725,-71.1020005975
85,4.0,2.0,1800.0,4225.0,4240.002719642454,0.996,"124 Bonner Ave, Medford, MA 02155",42.40513383644513,-71.10268564698171
86,3.0,1.0,1100.0,3000.0,2896.113973353079,1.035,"75 Gordon St , Somerville, MA 02144",42.4136155,-71.13015694783834
87,5.0,2.0,1600.0,4595.0,4792.771961242196,0.958,"68 Winchester St, Medford, MA 02155",42.40086585,-71.11035839686079
88,3.0,2.5,2000.0,4300.0,3831.5319369639055,1.122,"1166 Fellsway , Malden, MA 02148",42.42119463606189,-71.08590295569736
89,3.0,1.0,1100.0,3350.0,2896.113973353079,1.156,"115 Bartlett St , Somerville, MA 02145",42.39549875,-71.10046628767039
90,3.0,1.0,1200.0,2999.0,2951.9498163361063,1.015,"115 Bartlett St , Somerville, MA 02145",42.39549875,-71.10046628767039
91,2.0,1.0,1100.0,3000.0,2231.673045787282,1.344,"246 Harvard St , Medford, MA 02155",42.403728349999994,-71.11096105
92,3.0,2.0,1300.0,4600.0,3296.38257716152,1.395,"159 Boston Ave , Somerville, MA 02144",42.41612085,-71.12908810400762
93,3.0,1.0,1200.0,2700.0,2951.9498163361063,0.914,"47 Orchard St , Medford, MA 02155",42.4141451,-71.12298448644859
94,2.0,1.0,900.0,2600.0,2120.001359821227,1.226,"133 Heath St , Somerville, MA 02145",42.3966794,-71.09788799496144
95,5.0,2.0,2200.0,4225.0,5127.787019140361,0.823,"221 Boston Ave , Medford, MA 02155",42.414703349999996,-71.12693410132505
96,2.0,2.0,1274.0,3700.0,2617.4243304201364,1.413,"395 Alewife Brook Pkwy H, Somerville, MA 02144",,
