Bed_number,Bath_number,Square_foot,Price,Expected Price,Price Difference,Address
3.0,2.0,1300.0,4600.0,3296.38257716152,1303.6174228384798,"159 Boston Ave Unit 2, Somerville, MA 02144"
3.0,1.0,1200.0,2700.0,2951.9498163361063,-251.94981633610632,"47 Orchard St Unit 3, Medford, MA 02155"
2.0,1.0,900.0,2600.0,2120.001359821227,479.9986401787728,"133 Heath St Unit 14, Somerville, MA 02145"
5.0,2.0,2200.0,4225.0,5127.787019140361,-902.7870191403608,"221 Boston Ave Unit 2, Medford, MA 02155"
2.0,2.0,1274.0,3700.0,2617.4243304201364,1082.5756695798636,"395 Alewife Brook Pkwy Unit 2H, Somerville, MA 02144"
3.0,2.0,1200.0,3000.0,3240.5467341784924,-240.54673417849244,"98 Edward St Unit 1, Medford, MA 02155"
4.0,1.5,1800.0,3800.0,4095.704260721261,-295.7042607212611,"34 Bay State Ave Unit 2, Somerville, MA 02144"
1.0,1.0,920.0,2900.0,1466.7276008520357,1433.2723991479643,"30 Holton St Unit 1, Medford, MA 02155"
5.0,2.0,1600.0,4900.0,4792.771961242196,107.22803875780392,"65 Conwell Ave Unit 1, Somerville, MA 02144"
3.0,1.0,1200.0,3300.0,2951.9498163361063,348.0501836638937,"68 Kenmere Rd Unit 1, Medford, MA 02155"
2.0,1.0,920.0,2500.0,2131.1685284178325,368.8314715821675,"15 5th St Unit 3, Medford, MA 02155"
3.0,2.0,1250.0,7000.0,3268.4646556700063,3731.5353443299937,"14 Renfrew St, Medford, MA 02155"
3.0,2.0,1250.0,3900.0,3268.4646556700063,631.5353443299937,"14 Renfrew St, Medford, MA 02155"
4.0,1.0,1900.0,4400.0,4007.241644783095,392.7583552169049,"27 Princeton St Unit 2, Medford, MA 02155"
5.0,2.0,1999.0,6000.0,5015.556974744475,984.4430252555248,"217 Boston Ave Unit 2, Medford, MA 02155"
2.0,2.0,1000.0,3200.0,2464.4341206466406,735.5658793533594,"26 Bradlee Rd Unit 102, Medford, MA 02155"
5.0,2.0,1895.0,5500.0,4957.487698042127,542.5123019578732,"22 Harris Rd Unit 2, Medford, MA 02155"
3.0,1.0,1140.0,3450.0,2918.44831054629,531.55168945371,"7 Greenleaf Ave Unit 1, Medford, MA 02155"
2.0,1.0,920.0,3400.0,2131.1685284178325,1268.8314715821675,"430 Main St Unit 3, Medford, MA 02155"
3.0,1.0,1300.0,3300.0,3007.7856593191336,292.21434068086637,"254 Harvard St Unit 1, Medford, MA 02155"
2.0,1.5,1250.0,2950.0,2459.7252691830163,490.2747308169837,"45 Court St, Medford, MA 02155"
3.0,1.0,1200.0,3000.0,2951.9498163361063,48.05018366389368,"43 Orchard St, Medford, MA 02155"
3.0,2.0,1740.0,4250.0,3542.060286286841,707.9397137131591,"36 Hillsboro Rd, Medford, MA 02155"
3.0,1.0,999.0,3600.0,2839.719771940221,760.2802280597789,"112 College Ave Unit 1, Medford, MA 02155"
2.0,1.5,750.0,3000.0,2180.5460542678793,819.4539457321207,"29 Capen St Unit 2, Medford, MA 02155"
4.0,1.0,1200.0,4600.0,3616.390743901903,983.6092560980969,"82 Quincy St Unit 2, Medford, MA 02155"
1.0,1.5,750.0,3000.0,1516.1051267020823,1483.8948732979177,"1 S Street Ct Unit 4, Medford, MA 02155"
5.0,5.5,2200.0,7995.0,6137.876231588713,1857.1237684112866,"76 Stanley Ave Unit 1, Medford, MA 02155"
5.0,2.0,2200.0,4225.0,5127.787019140361,-902.7870191403608,"223 Boston Ave Unit 2, Medford, MA 02155"
5.0,2.0,2200.0,4225.0,5127.787019140361,-902.7870191403608,"221 Boston Ave Unit 2, Medford, MA 02155"
5.0,2.0,2200.0,4225.0,5127.787019140361,-902.7870191403608,"229 Boston Ave Unit 2, Medford, MA 02155"
3.0,2.0,1200.0,3000.0,3240.5467341784924,-240.54673417849244,"98 Edward St Unit F, Medford, MA 02155"
2.0,2.0,950.0,2700.0,2436.516199155127,263.4838008448728,"47 Orchard St Unit 3, Medford, MA 02155"
5.0,4.5,2100.0,5300.0,5793.443470763299,-493.44347076329905,"476 Fulton St, Medford, MA 02155"
1.0,2.0,800.0,3000.0,1688.3215071147893,1311.6784928852107,"21 Bradlee Rd Unit 402, Medford, MA 02155"
6.0,1.5,2500.0,6600.0,5815.437016734047,784.5629832659533,"252 Harvard St, Medford, MA 02155"
5.0,2.0,2200.0,6000.0,5127.787019140361,872.2129808596392,"22 Harris Rd Unit 2, Medford, MA 02155"
2.0,1.0,950.0,3400.0,2147.9192813127406,1252.0807186872594,"430 Main St Unit 3, Medford, MA 02155"
6.0,5.5,2500.0,6975.0,6969.824688103593,5.175311896407038,"5 Malvern Terrace Unit 1, Medford, MA 02155"
3.0,1.0,1200.0,3300.0,2951.9498163361063,348.0501836638937,"254 Harvard St Unit 1, Medford, MA 02155"
6.0,1.5,2200.0,6600.0,5647.929487784964,952.0705122150357,"254 Harvard St Unit 2, Medford, MA 02155"
3.0,1.0,1134.0,3875.0,2915.098159967308,959.9018400326918,"70 Billings Ave, Medford, MA 02155"
2.0,1.0,800.0,2500.0,2064.1655168381994,435.83448316180056,"15 5th St Unit 3, Medford, MA 02155"
4.0,2.0,1300.0,3875.0,3960.8235047273174,-85.82350472731741,"9 Medford St Unit 3, Medford, MA 02155"
4.0,2.0,1300.0,3875.0,3960.8235047273174,-85.82350472731741,"11 Medford St Unit 3, Medford, MA 02155"
4.0,2.0,1300.0,3875.0,3960.8235047273174,-85.82350472731741,"13 Medford St Unit 3, Medford, MA 02155"
4.0,2.0,1800.0,4225.0,4240.002719642454,-15.002719642454394,"124 Bonner Ave Unit 2, Medford, MA 02155"
4.0,2.0,1800.0,4225.0,4240.002719642454,-15.002719642454394,"128 Bonner Ave Unit 2, Medford, MA 02155"
5.0,5.5,3000.0,7995.0,6584.562975452933,1410.4370245470673,"70 Stanley Ave Unit 2, Medford, MA 02155"
2.0,1.0,900.0,2600.0,2120.001359821227,479.9986401787728,"101 Boston Ave Unit 1, Medford, MA 02155"
4.0,3.5,2500.0,5200.0,5063.748997287226,136.2510027127737,"119 Burget Ave, Medford, MA 02155"
5.0,3.0,2600.0,6200.0,5639.7273089148575,560.2726910851425,"39 Bonner Ave, Medford, MA 02155"
6.0,4.0,3267.0,7800.0,6965.190227019833,834.8097729801666,"633 Boston Ave, Medford, MA 02155"
4.0,1.0,1500.0,3600.0,3783.8982728509854,-183.89827285098545,"10 Pinkham Rd, Medford, MA 02155"
4.0,4.5,3000.0,5300.0,5631.52513004475,-331.52513004474986,"476 Fulton St Unit 1, Medford, MA 02155"
4.0,1.0,2500.0,5200.0,4342.256702681259,857.7432973187406,"10 Greenleaf Ave, Medford, MA 02155"
3.0,1.0,2100.0,3450.0,3454.472403183353,-4.472403183352981,"7 Greenleaf Ave, Medford, MA 02155"
2.0,2.0,1000.0,3250.0,2464.4341206466406,785.5658793533594,"616 Boston Ave Unit 2M, Medford, MA 02155"
2.0,1.0,1000.0,2650.0,2175.8372028042545,474.1627971957455,"157 Spring St Unit 1, Medford, MA 02155"
2.0,1.0,930.0,2750.0,2136.7521127161353,613.2478872838647,"293 Boston Ave Unit 1, Medford, MA 02155"
3.0,2.0,1200.0,3850.0,3240.5467341784924,609.4532658215076,"44 William St, Medford, MA 02155"
5.0,2.0,1600.0,4595.0,4792.771961242196,-197.77196124219608,"68 Winchester St, Medford, MA 02155"
2.0,1.0,1000.0,2575.0,2175.8372028042545,399.1627971957455,"17 Princeton St, Medford, MA 02155"
3.0,1.0,950.0,4200.0,2812.360208878538,1387.6397911214622,"119 Burget Ave, Medford, MA 02155"
3.0,2.0,999.0,3850.0,3128.3166897826077,721.6833102173923,"44 William St, Medford, MA 02155"
3.0,2.0,1050.0,3850.0,3156.7929697039517,693.2070302960483,"44 William St Unit 2, Medford, MA 02155"
3.0,2.0,1050.0,3850.0,3156.7929697039517,693.2070302960483,"42 William St Unit 2, Medford, MA 02155"
5.0,2.0,2200.0,4225.0,5127.787019140361,-902.7870191403608,"227 Boston Ave, Medford, MA 02155"
4.0,1.0,1500.0,4800.0,3783.8982728509854,1016.1017271490146,"10 Greenleaf Ave Unit 2, Medford, MA 02155"
6.0,1.5,2200.0,6600.0,5647.929487784964,952.0705122150357,"252 Harvard St Unit 1, Medford, MA 02155"
4.0,2.0,1800.0,4225.0,4240.002719642454,-15.002719642454394,"124 Bonner Ave Unit 2, Medford, MA 02155"
5.0,1.0,999.0,6250.0,4168.601627071815,2081.3983729281854,"14 Fairmount St Unit 1, Medford, MA 02155"
3.0,1.0,1000.0,3900.0,2840.2781303700517,1059.7218696299483,"59 Quincy St Unit 1, Medford, MA 02155"
4.0,2.0,1350.0,3875.0,3988.7414262188304,-113.74142621883038,"9 Medford St Unit 4-bed, Medford, MA 02155"
5.0,2.0,1600.0,4595.0,4792.771961242196,-197.77196124219608,"68 Winchester St, Medford, MA 02155"
4.0,1.0,1200.0,5200.0,3616.390743901903,1583.609256098097,"77 Pearson Rd, Somerville, MA 02144"
4.0,3.0,2000.0,4200.0,4640.271323450896,-440.2713234508956,"231 Spring St, Medford, MA 02155"
2.0,1.0,1000.0,2700.0,2175.8372028042545,524.1627971957455,"157 Spring St, Medford, MA 02155"
2.0,1.0,1000.0,2700.0,2175.8372028042545,524.1627971957455,"17 Dwyer Cir, Medford, MA 02155"
3.0,1.0,1000.0,3600.0,2840.2781303700517,759.7218696299483,"112 College Ave, Medford, MA 02155"
2.0,1.5,800.0,3000.0,2208.4639757593927,791.5360242406073,"29 Capen St, Medford, MA 02155"
5.0,2.0,1200.0,6500.0,4569.428589310086,1930.571410689914,"136 Burget Ave, Medford, MA 02155"
6.0,3.0,2000.0,7800.0,5969.15317858249,1830.84682141751,"17 Tesla Ave, Medford, MA 02155"
3.0,2.5,1905.0,4000.0,3778.4878861300294,221.51211386997056,"12 Ship Ave, Medford, MA 02155"
2.0,2.0,900.0,3000.0,2408.5982776636138,591.4017223363862,"22 Bradlee Rd, Medford, MA 02155"
4.0,2.0,2500.0,6000.0,4630.853620523646,1369.146379476354,"39 Bonner Ave, Medford, MA 02155"
5.0,2.0,1200.0,6500.0,4569.428589310086,1930.571410689914,"57 Quincy St, Medford, MA 02155"
3.0,1.0,950.0,4050.0,2812.360208878538,1237.6397911214622,"117 Burget Ave Unit 1, Medford, MA 02155"
2.0,1.0,1000.0,3200.0,2175.8372028042545,1024.1627971957455,"17 Princeton St, Medford, MA 02155"
3.0,2.0,1500.0,4500.0,3408.054263127575,1091.9457368724252,"349 Salem St, Medford, MA 02155"
4.0,4.5,2100.0,5300.0,5129.002543197503,170.99745680249725,"476 Fulton St, Medford, MA 02155"
3.0,2.0,1680.0,4250.0,3508.5587804970246,741.4412195029754,"105 Myrtle St, Medford, MA 02155"
6.0,5.5,2215.0,6975.0,6810.692535601965,164.30746439803534,"5 Malvern Terrace Unit 5, Medford, MA 02155"
3.0,2.5,2000.0,4675.0,3831.5319369639055,843.4680630360945,"54 Mystic St, Medford, MA 02155"
6.0,3.0,2483.0,4600.0,6238.840300190513,-1638.8403001905126,"94 Monument St, Medford, MA 02155"
4.0,2.0,2000.0,4600.0,4351.674405608509,248.325594391491,"50 Hamilton St Unit 2, Medford, MA 02155"
2.0,1.0,1160.0,2800.0,2265.1745515770986,534.8254484229014,"37 Willard Ave Unit 2, Medford, MA 02155"
3.0,2.0,1700.0,3900.0,3519.7259490936303,380.27405090636967,"132 Allston St, Medford, MA 02155"
3.0,2.5,1680.0,3850.0,3652.8572394182174,197.14276058178257,"97 Myrtle St, Medford, MA 02155"
2.0,2.0,1178.0,2900.0,2563.82192115643,336.1780788435699,"12 9th St Unit 202, Medford, MA 02155"
4.0,1.0,1800.0,4400.0,3951.405801800068,448.5941981999322,"27 Princeton St Unit 2, Medford, MA 02155"
3.0,3.0,2000.0,3975.0,3975.830395885099,-0.8303958850988238,"231 Spring St Unit 1A, Medford, MA 02155"
4.0,1.0,1460.0,4300.0,3761.5639356577744,538.4360643422256,"28 Hancock Ave Unit 2A, Medford, MA 02155"
4.0,1.0,2250.0,3400.0,4202.667095223691,-802.6670952236909,"17 Stoughton St Unit 2, Medford, MA 02155"
5.0,2.0,1500.0,4350.0,4736.936118259169,-386.93611825916923,"349 Salem St, Medford, MA 02155"
4.0,1.0,1900.0,4400.0,4007.241644783095,392.7583552169049,"27 Princeton St, Medford, MA 02155"
3.0,2.0,2000.0,4500.0,3687.2334780427127,812.7665219572873,"154 Lincoln Rd, Medford, MA 02155"
2.0,1.0,1000.0,2500.0,2175.8372028042545,324.1627971957455,"10 Wareham St Unit 2, Medford, MA 02155"
2.0,2.0,875.0,3000.0,2394.6393169178564,605.3606830821436,"26 Bradlee Rd, Medford, MA 02155"
2.0,1.0,950.0,2600.0,2147.9192813127406,452.0807186872594,"16 Emerald St Unit 1, Medford, MA 02155"
2.0,2.5,1680.0,4150.0,2988.416311852421,1161.5836881475789,"107 Myrtle St, Medford, MA 02155"
2.0,2.0,1193.0,2950.0,2572.197297603884,377.8027023961158,"22 9th St Unit 705, Medford, MA 02155"
3.0,1.0,1314.0,3200.0,3015.6026773367576,184.39732266324245,"428 Main St Unit 1, Medford, MA 02155"
6.0,5.0,2800.0,7000.0,6993.033758131482,6.966241868518409,"18 3rd St, Medford, MA 02155"
4.0,2.5,1850.0,4200.0,4412.219100055161,-212.2191000551611,"4 4th St Unit A, Medford, MA 02155"
2.0,2.0,875.0,3200.0,2394.6393169178564,805.3606830821436,"26 Bradlee Rd, Medford, MA 02155"
6.0,2.0,3599.0,7875.0,6573.371390038712,1301.628609961288,"14 Windsor Rd Unit 1, Medford, MA 02155"
2.0,2.0,1200.0,3000.0,2576.105806612696,423.89419338730386,"30 Revere Beach Pkwy Unit 616, Medford, MA 02155"
2.0,2.0,1150.0,3850.0,2548.1878851211823,1301.8121148788177,"235 Winthrop St Unit 3307, Medford, MA 02155"
6.0,2.0,2500.0,8000.0,5959.73547565524,2040.2645243447596,"53 Bristol Rd, Medford, MA 02155"
4.0,2.0,1719.0,4500.0,4194.775686826202,305.2243131737978,"118 Summer St Unit 2, Medford, MA 02155"
6.0,2.0,1875.0,8000.0,5610.761457011319,2389.238542988681,"53 Bristol Rd Unit 2, Medford, MA 02155"
3.0,2.0,1542.0,3800.0,3431.5053171804466,368.4946828195534,"696 Fulton St, Medford, MA 02155"
2.0,1.0,1000.0,2700.0,2175.8372028042545,524.1627971957455,"157 Spring St Unit 1, Medford, MA 02155"
3.0,1.0,1500.0,3600.0,3119.4573452851887,480.5426547148113,"21 Hillsdale Rd Unit 2, Medford, MA 02155"
3.0,1.0,1200.0,3900.0,2951.9498163361063,948.0501836638937,"58 Stanley Ave Unit 2, Medford, MA 02155"
4.0,1.0,1800.0,4400.0,3951.405801800068,448.5941981999322,"19 Princeton St Unit 2, Medford, MA 02155"
4.0,1.0,999.0,3600.0,3504.1606995060183,95.83930049398168,"10 Pinkham Rd Unit 2, Medford, MA 02155"
5.0,5.5,999.0,6800.0,5467.287757362554,1332.7122426374463,"62 Bradbury Ave Unit 1, Medford, MA 02155"
5.0,2.0,1600.0,4595.0,4792.771961242196,-197.77196124219608,"88 Winchester St Unit 2, Medford, MA 02155"
5.0,2.0,1895.0,6000.0,4957.487698042127,1042.5123019578732,"22 Harris Rd Unit 2, Medford, MA 02155"
2.0,1.0,1100.0,3000.0,2231.673045787282,768.3269542127182,"246 Harvard St Unit 2, Medford, MA 02155"
2.0,1.0,1000.0,2500.0,2175.8372028042545,324.1627971957455,"15 5th St Unit 3, Medford, MA 02155"
2.0,1.5,1000.0,2500.0,2320.135661725448,179.8643382745522,"15 5th St Unit 3, Medford, MA 02155"
2.0,2.0,700.0,2800.0,2296.9265916975587,503.0734083024413,"26 Bradlee Rd, Medford, MA 02155"
4.0,1.0,1300.0,4600.0,3672.226586884931,927.7734131150692,"82 Quincy St Unit 2, Medford, MA 02155"
3.0,1.0,950.0,4200.0,2812.360208878538,1387.6397911214622,"119 Burget Ave Unit 2, Medford, MA 02155"
4.0,1.5,1300.0,4600.0,3816.525045806124,783.4749541938759,"82 Quincy St Unit 2, Medford, MA 02155"
5.0,2.0,1800.0,6500.0,4904.443647208251,1595.5563527917493,"136 Burget Ave Unit 2, Medford, MA 02155"
2.0,2.0,1270.0,3700.0,2615.190896700815,1084.8091032991852,"100 Station Landing Unit Skyline unit 902, Medford, MA 02155"
4.0,1.0,1800.0,4400.0,3951.405801800068,448.5941981999322,"27 Princeton St Unit 2, Medford, MA 02155"
